,gis_id,chronology,hierarchy,sb_name,su_name,x,z
214,571,12,3,topo,,6829.6025,121.004605
215,572,12,3,topo,,6834.5915,121.262205
216,577,12,3,topo,,6859.5367,123.00000500000002
217,578,12,3,topo,,6864.5257,123.00000500000002
218,579,12,3,topo,,6869.5147,123.00000500000002
219,580,12,3,topo,,6874.5037,123.198605
220,581,12,3,topo,,6878.1319,123.78140499999999
221,582,12,3,topo,,8376.6855,115.65280499999999
222,583,12,3,topo,,8378.9697,115.799305
223,584,12,3,topo,,8383.9575,116.00000500000002
224,585,12,3,topo,,8388.9451,115.705305
225,586,12,3,topo,,8393.9329,115.872405
226,587,12,3,topo,,8398.9205,115.65400500000001
227,588,12,3,topo,,8403.9083,115.372805
228,589,12,3,topo,,8408.8959,115.00000500000002
229,590,12,3,topo,,8413.8837,115.00000500000002
230,591,12,3,topo,,8418.8713,115.00000500000002
231,592,12,3,topo,,8423.8591,115.00000500000002
232,593,12,3,topo,,8428.8467,115.00000500000002
233,594,12,3,topo,,8433.8345,115.00000500000002
234,595,12,3,topo,,8438.8221,115.00000500000002
235,596,12,3,topo,,8443.8099,115.00000500000002
236,625,12,3,topo,,8588.4531,114.90760499999999
237,626,12,3,topo,,8593.4407,114.185205
238,627,12,3,topo,,8598.4285,113.28280500000001
239,628,12,3,topo,,8603.4161,113.00000500000002
240,629,12,3,topo,,8608.4039,113.00000500000002
241,630,12,3,topo,,8613.3915,113.00000500000002
242,631,12,3,topo,,8618.3793,113.00000500000002
243,632,12,3,topo,,8623.3669,113.00000500000002
244,665,12,3,topo,,8787.9611,113.00000500000002
245,666,12,3,topo,,8792.9487,113.088605
246,667,12,3,topo,,8797.9365,113.84740500000001
247,668,12,3,topo,,8802.9241,113.364905
248,669,12,3,topo,,8807.9119,113.00000500000002
249,670,12,3,topo,,8812.8995,113.00000500000002
250,681,12,3,topo,,8867.7641,112.00000500000002
251,682,12,3,topo,,8872.7519,112.00000500000002
252,683,12,3,topo,,8877.7395,112.00000500000002
253,684,12,3,topo,,8882.7273,112.00000500000002
254,685,12,3,topo,,8887.7149,112.00000500000002
255,686,12,3,topo,,8892.7027,112.00000500000002
256,687,12,3,topo,,8897.6903,112.00000500000002
257,688,12,3,topo,,8902.6781,112.00000500000002
258,689,12,3,topo,,8907.6657,112.00000500000002
259,690,12,3,topo,,8912.6535,112.00000500000002
260,691,12,3,topo,,8917.6411,112.25170499999999
261,692,12,3,topo,,8922.6289,112.96590499999999
262,693,12,3,topo,,8927.6165,113.00000500000002
263,694,12,3,topo,,8932.6043,113.00000500000002
264,695,12,3,topo,,8937.5919,113.00000500000002
265,709,12,3,topo,,9007.4197,113.00000500000002
266,710,12,3,topo,,9012.4075,113.00000500000002
267,711,12,3,topo,,9017.3951,113.00000500000002
268,712,12,3,topo,,9022.3829,113.00000500000002
269,713,12,3,topo,,9027.3705,113.00000500000002
270,714,12,3,topo,,9032.3583,113.00000500000002
271,715,12,3,topo,,9037.3459,113.00000500000002
272,716,12,3,topo,,9042.3337,113.00000500000002
273,717,12,3,topo,,9047.3213,113.00000500000002
274,718,12,3,topo,,9052.3091,113.00000500000002
275,719,12,3,topo,,9057.2967,113.00000500000002
276,720,12,3,topo,,9062.2845,113.00000500000002
